Unsorted:                               Sorted:
95067                   53
86634                   59
93328                   59
48028                   59
14500                   166
33667                   209
47235                   236
166                   258
14715                   453
75765                   488
36358                   514
99021                   619
87183                   628
7090                   630
30750                   654
70614                   682
75016                   747
56294                   753
92767                   754
73248                   798
3602                   903
91224                   917
39289                   919
19450                   919
45020                   973
80171                   976
93529                   978
236                   992
2226                   998
61724                   1007
46333                   1020
85703                   1032
60722                   1111
81657                   1148
62054                   1292
2108                   1310
32714                   1322
90371                   1359
41875                   1403
41837                   1412
16022                   1424
55944                   1427
53067                   1463
73735                   1525
97645                   1565
18224                   1636
75617                   1668
53935                   1703
88540                   1722
3280                   1729
80123                   1772
68433                   1819
85231                   1882
20348                   1890
81098                   1893
84534                   1900
47003                   1904
17049                   1913
19369                   1949
52398                   1961
1893                   1996
26051                   2026
28228                   2066
22594                   2102
57730                   2108
3015                   2117
18711                   2142
46937                   2162
63680                   2164
13001                   2171
6269                   2185
41502                   2202
75036                   2226
84814                   2236
39204                   2238
2876                   2271
67030                   2275
11478                   2285
58663                   2287
4217                   2289
73986                   2340
27469                   2354
69580                   2362
11493                   2413
65630                   2428
95332                   2502
32889                   2548
62015                   2570
44569                   2661
22372                   2665
28617                   2683
63970                   2706
79525                   2749
30225                   2814
92039                   2835
96945                   2841
36652                   2855
88704                   2865
85382                   2876
95812                   2896
75525                   2909
97228                   2915
61079                   2949
27052                   2971
93117                   2994
69725                   3015
6943                   3109
65580                   3114
54090                   3139
10379                   3164
95644                   3177
49941                   3193
29818                   3227
10852                   3265
62839                   3280
46810                   3383
1007                   3387
78969                   3481
68943                   3482
87735                   3504
98745                   3602
41430                   3608
62533                   3623
1412                   3628
35332                   3630
56705                   3633
2865                   3669
917                   3682
67216                   3720
79184                   3773
36863                   3820
21112                   3881
51720                   3894
98313                   3939
58153                   3980
78717                   3989
45178                   3995
98102                   4048
60972                   4119
57656                   4143
628                   4150
72023                   4211
17070                   4217
3820                   4220
77601                   4228
38899                   4262
12787                   4316
84540                   4364
31683                   4409
93046                   4433
84152                   4440
73719                   4443
49066                   4457
63841                   4484
52828                   4508
98375                   4538
30779                   4544
68299                   4589
49605                   4599
94701                   4662
99791                   4709
1427                   4724
22082                   4729
10748                   4755
77258                   4828
27107                   4829
24159                   4859
12344                   4872
86755                   4977
74477                   4994
80995                   5009
42530                   5041
61620                   5092
81621                   5123
39634                   5224
39504                   5278
59051                   5371
77513                   5418
64209                   5463
69271                   5477
88910                   5602
97007                   5674
7963                   5675
18145                   5741
36518                   5741
37302                   5751
85413                   5774
74425                   5810
33103                   5825
96025                   5839
59124                   5881
17837                   5903
53713                   5939
26549                   5948
38631                   6024
20517                   6038
71212                   6040
3265                   6042
83544                   6047
51013                   6256
23220                   6269
18861                   6297
85544                   6316
26623                   6358
61570                   6428
31298                   6428
48379                   6430
23879                   6457
57633                   6458
25151                   6481
92005                   6481
33273                   6552
56152                   6554
11188                   6571
46929                   6578
10339                   6603
99825                   6609
67980                   6628
70825                   6637
77164                   6666
43977                   6759
99501                   6845
12453                   6867
32196                   6903
12274                   6943
49402                   6948
12272                   6975
25743                   6996
95333                   7008
93773                   7021
96605                   7026
21205                   7053
16885                   7090
28797                   7103
27945                   7121
4443                   7174
22486                   7197
54932                   7204
30071                   7207
13958                   7341
2185                   7347
48639                   7451
16398                   7452
68927                   7464
7197                   7597
11482                   7647
64439                   7736
27560                   7759
18341                   7777
61957                   7798
71422                   7809
28735                   7828
88596                   7845
95401                   7862
33119                   7884
38873                   7912
66248                   7926
14298                   7963
2117                   7965
21774                   7982
61885                   7998
64194                   8001
97330                   8003
1729                   8007
73851                   8125
71356                   8127
7452                   8138
65136                   8150
72112                   8154
11143                   8210
98681                   8219
92373                   8234
54222                   8242
93622                   8277
48927                   8280
31193                   8294
99872                   8316
52028                   8331
72257                   8375
74442                   8421
33688                   8432
93189                   8469
44241                   8531
68661                   8564
40758                   8709
90614                   8710
48736                   8724
77938                   8729
49895                   8794
35329                   8797
13851                   8828
77195                   8843
46180                   8846
8150                   8912
99088                   8914
60296                   9073
22528                   9123
90278                   9138
86923                   9147
24248                   9188
70748                   9211
20350                   9239
80292                   9376
23063                   9394
992                   9410
89745                   9513
35390                   9550
54562                   9554
63850                   9597
69995                   9703
63846                   9750
66520                   9772
50401                   9782
12669                   9797
39109                   9870
23447                   9880
82898                   9938
56860                   9955
35687                   9966
81221                   9990
49850                   10060
55564                   10061
51407                   10143
11754                   10159
66774                   10227
50216                   10235
18566                   10279
48522                   10296
73030                   10323
87574                   10339
2502                   10360
53206                   10379
88040                   10437
40101                   10484
76641                   10526
81358                   10566
56304                   10603
17650                   10613
71228                   10668
50394                   10748
89149                   10755
92928                   10840
53                   10852
48076                   10880
77446                   10926
32523                   11026
14797                   11108
88166                   11143
27799                   11144
84632                   11149
64288                   11182
41255                   11185
8001                   11188
2855                   11220
36104                   11231
72356                   11234
99618                   11288
46036                   11314
53227                   11318
65054                   11327
19403                   11352
754                   11379
44552                   11415
33460                   11430
96149                   11478
17800                   11482
66628                   11493
1111                   11619
65663                   11676
54652                   11694
91781                   11753
50902                   11754
41383                   11776
76594                   11786
38963                   11803
7451                   11824
3720                   11921
14177                   11953
67669                   11958
15694                   11968
19110                   12027
41286                   12042
4729                   12056
93245                   12057
50296                   12077
70119                   12127
55515                   12138
33133                   12144
19795                   12152
71292                   12171
91112                   12250
62382                   12272
92315                   12274
59360                   12344
70629                   12359
35190                   12360
36621                   12363
34005                   12417
79519                   12447
88776                   12453
58883                   12475
43969                   12504
50188                   12514
40795                   12519
82468                   12525
79949                   12669
41329                   12787
84279                   12819
82255                   12877
37241                   12901
29890                   13001
38158                   13006
35492                   13018
98359                   13075
19423                   13096
66579                   13112
8709                   13140
23806                   13143
38021                   13185
91202                   13197
41003                   13228
8242                   13235
11379                   13239
87140                   13242
12057                   13285
27504                   13320
89475                   13346
37612                   13362
27132                   13387
73075                   13434
93924                   13462
50840                   13470
81467                   13473
10235                   13546
46235                   13722
32837                   13727
88241                   13752
67780                   13814
26085                   13831
514                   13836
94665                   13840
23181                   13851
5674                   13868
60676                   13956
14738                   13958
25565                   14013
87146                   14016
11968                   14021
77931                   14125
24782                   14171
61920                   14177
46778                   14247
71950                   14298
21845                   14304
79685                   14315
44776                   14327
69194                   14362
77559                   14443
71177                   14488
65873                   14499
28130                   14500
58746                   14526
99959                   14533
27902                   14536
71655                   14568
5751                   14572
51978                   14581
26131                   14584
4994                   14619
73064                   14643
18459                   14694
16315                   14715
35187                   14733
15809                   14738
10526                   14797
9188                   14862
75268                   14893
38780                   14947
78204                   15008
64177                   15034
24901                   15074
34240                   15139
43598                   15199
84391                   15235
4724                   15331
2340                   15337
6571                   15436
12360                   15436
92060                   15464
34025                   15489
2915                   15499
86149                   15511
10613                   15516
5418                   15602
25067                   15679
51775                   15693
9147                   15694
25414                   15758
94523                   15758
94636                   15769
88796                   15792
84245                   15807
59310                   15809
31752                   15849
94858                   15899
18352                   15917
76247                   16001
19702                   16022
76868                   16075
21249                   16103
43339                   16123
81053                   16139
7008                   16144
66793                   16196
82223                   16234
64509                   16283
63784                   16315
61334                   16398
26077                   16461
87713                   16493
92772                   16506
96364                   16694
89613                   16838
60823                   16840
83628                   16863
76595                   16864
39612                   16885
3608                   16926
10159                   16930
61008                   16952
95829                   16960
89252                   17049
57452                   17053
88961                   17065
64682                   17070
51812                   17128
69092                   17144
89327                   17223
78588                   17246
99891                   17271
50979                   17429
73259                   17457
59898                   17460
52148                   17483
11234                   17484
86399                   17617
27009                   17650
22758                   17653
84122                   17714
19901                   17770
30560                   17797
38666                   17800
41181                   17837
56092                   17861
82517                   17893
77638                   17932
919                   17946
24461                   17973
15034                   17989
12514                   18018
30384                   18028
41883                   18130
65723                   18131
75476                   18137
10323                   18145
20800                   18149
55386                   18207
8564                   18224
6024                   18225
79471                   18228
97397                   18293
85460                   18341
59880                   18344
90285                   18352
59610                   18361
18738                   18423
753                   18437
40146                   18449
97396                   18459
24586                   18483
17617                   18532
73425                   18566
44664                   18711
73800                   18734
55506                   18738
80532                   18742
80547                   18749
4829                   18809
77707                   18861
81557                   19004
86065                   19021
13018                   19051
93844                   19093
90799                   19110
74276                   19222
90870                   19224
36870                   19276
46856                   19280
49335                   19305
7809                   19330
96472                   19363
76112                   19369
2994                   19378
58817                   19403
76895                   19414
91457                   19423
77391                   19450
42587                   19476
72295                   19500
38417                   19512
90269                   19536
50128                   19632
38320                   19648
19222                   19688
6256                   19702
50162                   19718
75781                   19723
30666                   19726
55164                   19743
8421                   19795
60334                   19864
52978                   19873
86123                   19886
99459                   19901
24379                   19909
58223                   20069
39090                   20148
53790                   20201
77472                   20295
48336                   20332
14021                   20348
60133                   20350
72979                   20363
97180                   20392
38288                   20431
76430                   20462
33738                   20480
31109                   20514
85607                   20517
74222                   20526
15436                   20527
57353                   20532
6457                   20602
29791                   20650
61278                   20678
95838                   20693
6578                   20729
77896                   20782
11676                   20800
